,2022,2021,2020,2019,2018,2017,2016,2015,2014
ATENDE,4.325682915536737,16.857319523883135,-10.999518470110758,-2.199946178686748,8.196243994759056,40.527823240589186,14.459665144596663,-24.675897345444927,113.39
MDIENERGIA,-24.155999204085703,16.785437645236264,-28.20598376153932,-9.094585713563525,-18.28396744743256,4618.713450292398,5.13,,
MASTERPHA,17.486338797814213,-35.517970401691336,-2.6229508196721403,99.9847514486124,-56.42524916943522,150.5,,,
IMS,16.111250313204728,-37.26322408237051,9.766197912173244,1.7647058823529331,18.47306012065738,39.29295856273545,-8.679544853135754,75.58,
FEERUM,-13.436261214270807,-20.861883926360107,28.80689068481496,-28.50300311715958,-23.176216342503363,-15.72652096869462,58.71875,-47.35110233629484,243.12
RAFAKO,52.353287867306555,1.8610634648370512,-47.41352094890182,-41.3335097235084,-25.584280060643053,-24.495287366574498,72.58312807881772,-12.500000000000002,445.44
WASKO,34.45765367247258,-2.462921348314602,-11.59408773045137,-41.77039470639952,117.43636180702286,-44.672678690714754,39.72155246169402,-35.91047305717562,200.61
TERMOREX,-18.098674274207088,7.147352333003687,96.0,-74.87492805596139,-9.543452142571079,-37.853107344632775,-51.88547067910474,835.07,
GLCOSMED,4.205157563298542,254.83841181902125,30.52910690611064,-53.792604143461794,-64.64310327852712,217.60475297060665,-28.344163118978265,146.27524555788546,90.61
MERCATOR,-76.92168460663537,4147.446848899013,-7.869884575026233,-36.20795448206616,-10.850862797752246,41.17523167649537,31.937754723971846,107.96,
KREC,110.23710952201735,53.00892600057586,21.447721179624654,-14.823272438443203,-11.454945054945055,-10.840257093588335,-15.110785814092752,36.04598533538516,110.47
ZAMET,12.955705973162347,-18.03581857115048,38.57566765578635,-30.003776435045317,-28.5723919347225,-7.791319487625917,-35.769630162153526,-51.851851851851855,520.02
AILLERON,3.4538096567122643,39.75621647976597,-20.95120635165343,-41.013049606693045,97.99243788260713,36.01077507040528,81.67,,
NOVITA,26.153846153846153,217.0731707317073,-17.171717171717173,2.0786933927245697,-25.96641221374046,27.253652471246493,5.062050947093405,44.17892878163625,84.95
ULTGAMES,-23.496206373292864,61.37721618180037,102.09,,,,,,
MIRBUD,17.31307346912216,216.0308483290488,13.358200256440135,-9.570991883630228,41.978449565998226,19.12996969156711,-50.00445672519832,-4.111111111111113,117.0
ZUE,-10.315910396323957,-10.007236638064724,-4.971018764122214,-27.54128701594532,-31.46314094745573,0.11233759890592447,34.901495684259075,-33.02885888271114,226.62
GRODNO,9.383547233326313,147.60366743071475,65.51129505087084,-68.76548529570181,123.92956217585333,-3.749709774785238,86.14,,
VINDEXUS,44.184801997859424,-40.88991986503585,18.0776892430279,-26.60148039842823,30.38246157512212,22.097759674134437,38.22642268248542,-15.049538776904685,58.54
PLASTBOX,39.36998147004322,-12.26834290668689,-1.7881852048962286,0.4490537795359796,1.3655576026877698,4.259887005649713,-18.84456671251719,-17.22331865796266,131.74
MONNARI,30.647813219335735,-33.442766469687015,-28.809598005609235,-49.39882524539756,-16.668309188265837,-21.513471702977956,25.02417639094836,52.63727612674671,203.24
KGL,-28.77237851662404,37.072743207712534,-1.9232835500161085,-38.06481666333933,2.3916598528209456,146.76,,,
IZOSTAL,3.399792555030544,-3.2880071333036143,-7.112537529764991,-43.48818160542943,-6.452848776750052,24.827491972398718,1.5964461719997303,-30.602119460500965,207.6
I2DEV,12.987769365171818,-2.2098188859779153,0.7806222018138065,-27.16555183946488,-36.769759450171826,189.15,,,
